e, e_dot, e_int, stamp, 
0.14888994683764656, -3.984494920121963e-07, 0.01776267325408019, 1761339749309593119, 
0.14888994682831758, -7.190500480391574e-11, 0.016181146509305796, 1761339749349322683, 
0.1488885022467472, -9.425336739097866e-06, 0.013521929964779548, 1761339749400411700, 
0.15001334763003404, 0.007643516404886686, 0.014938789294547549, 1761339749449405731, 
0.15374549452998165, 0.03253470178597179, 0.01493622501352913, 1761339749499404162, 
0.15617910991993922, 0.04101637658979124, 0.015373539806259306, 1761339749549681473, 
0.1600298237977853, 0.048582157764340266, 0.014072889370457678, 1761339749589239826, 
0.22919349019012536, 0.22392500343886532, 0.029081193028858872, 1761339749709643320, 
0.2563991882658416, 0.29250691817992674, 0.04522910548572169, 1761339749799404924, 
0.32637456350021, 0.3368347159475859, 0.05106692123244342, 1761339749898321823, 
0.3955972181586809, 0.489450992256285, 0.061926694642360634, 1761339749989292083, 
0.45516835275744016, 0.4516590270419081, 0.07504332393327423, 1761339750089573455, 
0.5308718278928266, 0.425858065849174, 0.09719099313590748, 1761339750200326454, 
0.6030309103542626, 0.47085583663819214, 0.11109309562826634, 1761339750299305599, 
0.6201287191516118, 0.30625995519462273, 0.11055529074430998, 1761339750389414210, 
0.6736774556169767, 0.21235840066498202, 0.13266254746573175, 1761339750509122059, 
0.6396510079654254, 0.023322952263710246, 0.13526315125158328, 1761339750599291862, 
0.6537256824813547, -0.07885720508277504, 0.12467219142543584, 1761339750699262516, 
0.5758841353045288, -0.2380795502602805, 0.1190161825888386, 1761339750790302417, 
0.5593282012000147, -0.33141663907755303, 0.1251996531517802, 1761339750909218901, 
0.44355879753106153, -0.4748270403799188, 0.10998315758420826, 1761339750999293743, 
0.40615329246888443, -0.5531068482140659, 0.08927341866861217, 1761339751099291717, 
0.38165920098473194, -0.21529363305935934, 0.07803199337375677, 1761339751189403730, 
0.2508716800416009, -0.4532444371799101, 0.0728223270961117, 1761339751309622236, 
0.23131787474166332, -0.4352332161145653, 0.06047044145967827, 1761339751399407302, 
