x, y, theta, stamp, 
-2.0933976330184123e-08, 2.4196257442099522e-08, -2.376476988530385e-07, 1761339749190292446, 
3.5704772471945034e-13, 1.4566126083082054e-13, 7.72566899343019e-10, 1761339749240644113, 
3.5704772471945034e-13, 1.4566126083082054e-13, 7.712501748358136e-10, 1761339749309593119, 
3.5704772471945034e-13, 1.4566126083082054e-13, 7.805791568671339e-10, 1761339749349322683, 
5.024260190111818e-07, -5.807050342809816e-07, 5.722922415518639e-06, 1761339749400411700, 
0.0010365658672526479, -1.0496451068320312e-05, -3.385521217103005e-05, 1761339749449405731, 
0.005598438438028097, -8.816807167022489e-06, 0.0008866739220771969, 1761339749499404162, 
0.012127728201448917, 0.00025210666353814304, 0.0038077450056714923, 1761339749549681473, 
0.01868307776749134, 0.00032743156771175563, 0.007240246930655392, 1761339749589239826, 
0.046867627650499344, 0.0011820285581052303, 0.019069910886821084, 1761339749709643320, 
0.07485939562320709, 0.0025427835062146187, 0.03443459552135186, 1761339749799404924, 
0.10609596967697144, 0.004402854014188051, 0.05733585075748682, 1761339749898321823, 
0.13370834290981293, 0.006612093187868595, 0.06921430865906153, 1761339749989292083, 
0.16361474990844727, 0.00907790008932352, 0.08033576875895365, 1761339750089573455, 
0.19727033376693726, 0.012307911179959774, 0.09412821928057369, 1761339750200326454, 
0.22754496335983276, 0.015791678801178932, 0.11376116213213505, 1761339750299305599, 
0.25502467155456543, 0.019528931006789207, 0.1494910504864655, 1761339750389414210, 
0.2905530035495758, 0.026119723916053772, 0.21179849128352446, 1761339750509122059, 
0.31741878390312195, 0.032407574355602264, 0.269051288191398, 1761339750599291862, 
0.34707069396972656, 0.04135672748088837, 0.34864896094812536, 1761339750699262516, 
0.3727826178073883, 0.05144728347659111, 0.4250859359170507, 1761339750790302417, 
0.40522393584251404, 0.06830551475286484, 0.5306719517373977, 1761339750909218901, 
0.4283117949962616, 0.08304107189178467, 0.6209521609289408, 1761339750999293743, 
0.452019602060318, 0.10181208699941635, 0.7104615653235014, 1761339751099291717, 
0.4723639488220215, 0.12063100188970566, 0.7856760482173435, 1761339751189403730, 
0.4977951943874359, 0.14816609025001526, 0.8703941546363865, 1761339751309622236, 
0.5146301984786987, 0.16945335268974304, 0.91826753957106, 1761339751399407302, 
0.5325350165367126, 0.1947919726371765, 0.9559443731479984, 1761339751499277281, 
