e, e_dot, e_int, stamp, 
0.7816720436284266, 0.0, 0.037425221625428086, 1761339543992218296, 
0.7816720436284266, 0.0, 0.07488790332020298, 1761339544040144638, 
0.7816720436284266, 0.0, 0.0741907394045553, 1761339544087131169, 
0.7816720436284266, 0.0, 0.07505257035291373, 1761339544136160059, 
0.7812879241126653, -0.0013368054534368156, 0.1131748776221162, 1761339544231940517, 
0.7906621690011351, 0.02646525144663284, 0.1633203192171938, 1761339544344333219, 
0.8091123760261221, 0.09266262015352215, 0.16446201182134318, 1761339544439153071, 
0.8395920708881408, 0.17072395209427657, 0.15513691581809413, 1761339544535124855, 
0.8017684468836586, -0.023362593315468676, 0.15808517932718272, 1761339544632689404, 
0.8385128814877358, -0.01965446935323245, 0.1730511455154787, 1761339544744471605, 
0.7574223000403748, -0.17587087776168864, 0.16502434593289572, 1761339544839167399, 
0.7662893473359285, -0.2546478675418307, 0.1501402957564109, 1761339544935148182, 
0.7805401167232713, 0.07924111157384106, 0.14903300997503813, 1761339545033199595, 
0.6263061477381102, -0.4111742642659489, 0.15205238205184818, 1761339545145055536, 
0.6097363281030335, -0.5177011046046781, 0.13911274557605421, 1761339545240152803, 
0.45090299987577076, -0.6152344713146135, 0.1069095037424117, 1761339545335179352, 
0.4277416483873102, -0.6365565630957929, 0.0953846670360383, 1761339545432411375, 
0.27551530320909823, -0.5335654205687139, 0.08039057383397714, 1761339545544138016, 
0.2516551015681352, -0.5378443929212909, 0.06581590126774356, 1761339545639181939, 
0.07138911974154905, -0.7098601361629274, 0.03810924482917711, 1761339545735142803, 
0.05309087533270773, -0.6890443065768496, 0.024196034795999313, 1761339545832166069, 
0.051092823578173796, -0.06886498008060986, 0.012175126839783423, 1761339545943178311, 
-0.06291505885430038, -0.4018564153773569, 0.002847717181915601, 1761339546039179228, 
-0.05444969684018108, -0.3667647436450823, -0.004263397675005434, 1761339546136173937, 
-0.13982609232213505, -0.26624366909988867, -0.016576422442798174, 1761339546232534737, 
-0.13208314312524472, -0.27205144962994093, -0.022541266818069335, 1761339546343380769, 
-0.16467678381473538, -0.08998635467524603, -0.030089893370885294, 1761339546439297382, 
-0.1402549856763322, -0.029495659884720544, -0.028127545079829525, 1761339546536469455, 
-0.15968578290444801, 0.016712476156519458, -0.03000692892218225, 1761339546633049827, 
-0.19616144601826502, -0.1759786892821651, -0.03443159319774592, 1761339546744682151, 
-0.19554200943389732, -0.1067348143867649, -0.03791586522810659, 1761339546839342565, 
-0.20143669723340363, -0.0182431140910433, -0.03773634818919435, 1761339546935546054, 
-0.19758709675956476, -0.007217495827192037, -0.03832273925625583, 1761339547032707567, 
-0.2118529952844579, -0.029372035789541423, -0.04252589141030523, 1761339547144389599, 
-0.235263010192166, -0.12387724757438956, -0.0446276422261131, 1761339547240373586, 
-0.2441050304589445, -0.11238212098577317, -0.04396239472712646, 1761339547335192797, 
-0.25690599944259773, -0.0748653120192113, -0.0471903001803004, 1761339547432653760, 
-0.2523407397677624, -0.0301371998334164, -0.05248126590101464, 1761339547544183874, 
-0.2735567124717688, -0.0600200759416849, -0.05415250111178235, 1761339547640186702, 
-0.25515797138784935, -0.009769874728892671, -0.04998436795622638, 1761339547736171663, 
-0.276686716495675, -0.010342932504490976, -0.0517204877679278, 1761339547832837799, 
-0.24287358782748036, 0.026867340357073444, -0.05375123147926616, 1761339547944316610, 
-0.25356948437284643, 0.06392979389389401, -0.05344507452458389, 1761339548040222414, 
-0.21463157934542565, 0.09808535906007752, -0.045476474051558205, 1761339548136180322, 
-0.2235621140950914, 0.1043104204213839, -0.04430523357674229, 1761339548232362882, 
-0.1739699483149959, 0.11685679142599674, -0.04244797215307753, 1761339548344202994, 
-0.13924567341105654, 0.2671078926158136, -0.03737072612614399, 1761339548441224336, 
-0.1343200595051921, 0.13657985300890735, -0.028648878782955398, 1761339548536247204, 
-0.10088720512240545, 0.1325605990080362, -0.02392663444265996, 1761339548632917059, 
