x, y, theta, stamp, 
-1.0257583653583424e-06, 1.185627979793935e-06, -1.1682503248344744e-05, 1761339543944339877, 
-1.0257583653583424e-06, 1.185627979793935e-06, -1.1682503248344744e-05, 1761339543992218296, 
-1.0257583653583424e-06, 1.185627979793935e-06, -1.1682503248344744e-05, 1761339544040144638, 
-1.0257583653583424e-06, 1.185627979793935e-06, -1.1682503248344744e-05, 1761339544087131169, 
-1.0257583653583424e-06, 1.185627979793935e-06, -1.1682503248344744e-05, 1761339544136160059, 
0.00017428222054149956, -7.285035098902881e-05, 0.0012056911114837199, 1761339544231940517, 
0.0100200604647398, 0.00042982789454981685, 0.024111153503624028, 1761339544344333219, 
0.025268439203500748, 0.0011822364758700132, 0.06040523849001733, 1761339544439153071, 
0.04646093770861626, 0.0033565962221473455, 0.11282196475502637, 1761339544535124855, 
0.07411463558673859, 0.007995684631168842, 0.182370762785673, 1761339544632689404, 
0.10918564349412918, 0.015557551756501198, 0.2690518457465214, 1761339544744471605, 
0.1370818018913269, 0.02404460683465004, 0.34078012306101124, 1761339544839167399, 
0.1638704091310501, 0.0341976098716259, 0.4164910638548105, 1761339544935148182, 
0.19114676117897034, 0.047462787479162216, 0.5005823171683317, 1761339545033199595, 
0.2199144959449768, 0.0650940090417862, 0.6042401610670618, 1761339545145055536, 
0.24310514330863953, 0.08276255428791046, 0.6947295439123113, 1761339545240152803, 
0.2646771967411041, 0.1020469218492508, 0.770698758547586, 1761339545335179352, 
0.28552699089050293, 0.12395383417606354, 0.8483769577859563, 1761339545432411375, 
0.3075149953365326, 0.15036530792713165, 0.9123305495293064, 1761339545544138016, 
0.3246784210205078, 0.17354489862918854, 0.9692343668446366, 1761339545639181939, 
0.3407154977321625, 0.1984127312898636, 1.0445992906791606, 1761339545735142803, 
0.35503950715065, 0.2250426709651947, 1.0682490924701398, 1761339545832166069, 
0.3710172474384308, 0.255170613527298, 1.077299173853664, 1761339545943178311, 
0.3850621283054352, 0.2808763384819031, 1.0685435708942492, 1761339546039179228, 
0.399267315864563, 0.3060760200023651, 1.0520039784399007, 1761339546136173937, 
0.4142551124095917, 0.3314324617385864, 1.0341720224462154, 1761339546232534737, 
0.43224290013313293, 0.36010801792144775, 1.0050099510355803, 1761339546343380769, 
0.44854286313056946, 0.38421162962913513, 0.9546126185031385, 1761339546439297382, 
0.4660327136516571, 0.40730059146881104, 0.9096588714442388, 1761339546536469455, 
0.48424917459487915, 0.4302822947502136, 0.9047336233259582, 1761339546633049827, 
0.5056091547012329, 0.4567581117153168, 0.8683599892118741, 1761339546744682151, 
0.5245918035507202, 0.47827234864234924, 0.8356739403934514, 1761339546839342565, 
0.5445311665534973, 0.4990343749523163, 0.7969162537580594, 1761339546935546054, 
0.5654650330543518, 0.5186814069747925, 0.7647035369967754, 1761339547032707567, 
0.5904793739318848, 0.5414020419120789, 0.7431636204168215, 1761339547144389599, 
0.6123627424240112, 0.5611017942428589, 0.7288370096344954, 1761339547240373586, 
0.6339601874351501, 0.5802390575408936, 0.7114931790185586, 1761339547335192797, 
0.65659499168396, 0.599213182926178, 0.6814480743318834, 1761339547432653760, 
0.6832242608070374, 0.6199768781661987, 0.6552921645515024, 1761339547544183874, 
0.7067949771881104, 0.6370644569396973, 0.634181871518074, 1761339547640186702, 
0.7307161688804626, 0.6537773609161377, 0.6089427842407851, 1761339547736171663, 
0.7550453543663025, 0.6698755025863647, 0.586620441681541, 1761339547832837799, 
0.783627450466156, 0.6876811981201172, 0.5463630483941384, 1761339547944316610, 
0.809306800365448, 0.702475368976593, 0.5127744952192126, 1761339548040222414, 
0.8349984288215637, 0.7162867784500122, 0.4826143002076897, 1761339548136180322, 
0.8612139225006104, 0.7290754914283752, 0.45371802719107235, 1761339548232362882, 
0.8920008540153503, 0.7428036332130432, 0.4159855046873733, 1761339548344202994, 
0.9186652898788452, 0.753908097743988, 0.39073906757978794, 1761339548441224336, 
0.9457458257675171, 0.7643513679504395, 0.3645048135914464, 1761339548536247204, 
0.9731724858283997, 0.7741116285324097, 0.34285940698931583, 1761339548632917059, 
1.004965901374817, 0.7849627733230591, 0.32403963203912856, 1761339548744215420, 
1.0322151184082031, 0.7936761379241943, 0.3123560947842612, 1761339548840242546, 
1.0597703456878662, 0.8021981120109558, 0.30370739947166836, 1761339548936238269, 
1.087978720664978, 0.8107265830039978, 0.29987399789680014, 1761339549033009469, 
1.1200052499771118, 0.820867121219635, 0.3043451362606535, 1761339549144640453, 
1.1475284099578857, 0.829711377620697, 0.30570042417464727, 1761339549240218743, 
1.17500638961792, 0.8386619091033936, 0.3057001467880931, 1761339549336234409, 
1.2035350799560547, 0.8477854132652283, 0.30619618214966016, 1761339549433653775, 
1.2359585762023926, 0.8582643270492554, 0.30426065676519354, 1761339549544322936, 
1.2638893127441406, 0.8670103549957275, 0.3005003229157457, 1761339549640224301, 
1.29121732711792, 0.875346839427948, 0.2934712919354241, 1761339549736260266, 
1.3194143772125244, 0.883620023727417, 0.28039379956670674, 1761339549832357791, 
1.3525198698043823, 0.892608106136322, 0.2626140319698891, 1761339549945248870, 
1.3803657293319702, 0.8995475172996521, 0.24621602571240464, 1761339550040263594, 
1.4084151983261108, 0.9060915112495422, 0.2203697802343756, 1761339550136285400, 
1.4369417428970337, 0.911453902721405, 0.19818302480989836, 1761339550232646364, 
1.4706573486328125, 0.9171832203865051, 0.16706681850503724, 1761339550345239920, 
1.4991488456726074, 0.9214061498641968, 0.1432186432023168, 1761339550440257576, 
1.5277019739151, 0.9246256947517395, 0.12031473076069776, 1761339550536265108, 
1.557114601135254, 0.9273576736450195, 0.10352103044256644, 1761339550632264304, 
1.5904910564422607, 0.9306491613388062, 0.09363524013060731, 1761339550744271527, 
1.619041085243225, 0.9333746433258057, 0.08707948475004956, 1761339550840294241, 
1.6481428146362305, 0.9358016848564148, 0.0814473618522582, 1761339550936444617, 
1.67737877368927, 0.9379903078079224, 0.08004067070659993, 1761339551032872512, 
1.7115968465805054, 0.9410297274589539, 0.08477854260947426, 1761339551144460374, 
1.7400444746017456, 0.9439976811408997, 0.10126642422740417, 1761339551240591262, 
1.769611120223999, 0.9476719498634338, 0.11037084665414065, 1761339551337897172, 
1.798606514930725, 0.9512773156166077, 0.11358370065972156, 1761339551432981818, 
1.8326952457427979, 0.955550491809845, 0.1200474206265314, 1761339551544114405, 
1.8613944053649902, 0.9591621160507202, 0.1254133063342815, 1761339551640756070, 
1.89016854763031, 0.9630882740020752, 0.12681066567779986, 1761339551736447965, 
1.9193311929702759, 0.9669694304466248, 0.12412629109709883, 1761339551833037746, 
1.9533382654190063, 0.9708362221717834, 0.1104197924181709, 1761339551944287865, 
1.9814008474349976, 0.9739660620689392, 0.09709575065878528, 1761339552040283126, 
2.0085997581481934, 0.9759944081306458, 0.08221881547723164, 1761339552136271160, 
2.0338497161865234, 0.9776872992515564, 0.06573770821856639, 1761339552232973658, 
2.061894416809082, 0.9790005683898926, 0.044822256283557405, 1761339552344290534, 
2.0851283073425293, 0.9796925187110901, 0.029445158968986807, 1761339552441237086, 
2.1068873405456543, 0.9799333214759827, 0.01041758700850881, 1761339552536227677, 
2.1270031929016113, 0.9798989295959473, -0.002929826450475126, 1761339552632408200, 
2.1486284732818604, 0.9798077940940857, -0.010542258404365512, 1761339552744421618, 
2.1668050289154053, 0.9795129299163818, -0.015182103922615209, 1761339552841275622, 
2.1839218139648438, 0.9793153405189514, -0.016689618403126882, 1761339552936275444, 
2.1998159885406494, 0.9791168570518494, -0.013216100349455306, 1761339553032255641, 
2.2174110412597656, 0.9790405035018921, -0.0022813013100675406, 1761339553144435041, 
