e, e_dot, e_int, stamp, 
-0.7163165989827127, -0.01639544463968116, -0.14287481317835288, 95432000000, 
-0.7131917169658567, 0.0073863871197181, -0.1429943966033561, 95636000000, 
-0.7115824052201462, 0.015780645875221877, -0.1427393814112477, 95840000000, 
-0.7144459915218405, -0.004180915186612714, -0.14261467424718957, 96044000000, 
-0.7115376781987941, 0.0001490900711735114, -0.14250440499605205, 96248000000, 
-0.7080110878807891, 0.021449678803504568, -0.14226631717342825, 96452000000, 
-0.7116093097178683, -0.00023877173024729656, -0.14207720505316343, 96656000000, 
-0.7151993035553958, -0.023960718915355672, -0.1423213134102702, 96860000000, 
-0.7107405794232797, 0.0028957676486285333, -0.14250327951310293, 97030000000, 
-0.7037205819236151, 0.03826240543926921, -0.14197736432681937, 97234000000, 
-0.6114904967268433, 0.3308336089881214, -0.1350634438715825, 97438000000, 
-0.5264103487458326, 0.5910341105926084, -0.12277476182641939, 97642000000, 
-0.4320545759058113, 0.5981197360701066, -0.10466369475856582, 97846000000, 
-0.33999541317400395, 0.6213831185727622, -0.08656402252170986, 98050000000, 
-0.24515009447414937, 0.6230149381055398, -0.06781333890359763, 98254000000, 
-0.24515009447414937, 0.31615106233284856, -0.05535304014148684, 98254000000, 
-0.15648276971373387, 0.295557749201385, -0.04311886391080218, 98458000000, 
-0.15648276971373387, 0.295557749201385, -0.037207708926774476, 98458000000, 
-0.10263955226134525, 0.17947739150796208, -0.027707006112587532, 98628000000, 
-0.10263955226134525, 0.17947739150796208, -0.02411745828242829, 98628000000, 
-0.07023794532050853, 0.10800535646945571, -0.018367803322879933, 98832000000, 
-0.07023794532050853, 0.10800535646945571, -0.01620769619349082, 98832000000, 
-0.053953841315277584, 0.05428034668410316, -0.012961982130419642, 99036000000, 
-0.053953841315277584, 0.05428034668410316, -0.011876375196737579, 99036000000, 
-0.04201043048436681, 0.03981136943636924, -0.009994540874328132, 99240000000, 
-0.04201043048436681, 0.03981136943636924, -0.009198313485600747, 99240000000, 
-0.04201043048436681, 0.0, -0.008402086096873363, 99240000000, 
-0.03546770612983108, 0.02180908118178578, -0.007965904473237646, 99444000000, 
-0.03546770612983108, 0.02180908118178578, -0.007529722849601931, 99444000000, 
-0.021435937748186418, 0.04677256127214887, -0.006158090000523238, 99648000000, 
-0.021435937748186418, 0.04677256127214887, -0.005222638775080261, 99648000000, 
-0.01699990002342333, 0.014786792415876956, -0.0039914517013197445, 99852000000, 
-0.01699990002342333, 0.014786792415876956, -0.0036957158530022054, 99852000000, 
-0.015235802838045043, 0.005880323951260961, -0.003282373525659447, 100056000000, 
-0.015235802838045043, 0.005880323951260961, -0.003164767046634228, 100056000000, 
-0.00910114048273103, 0.020448874517713378, -0.002638183077254741, 100260000000, 
-0.00910114048273103, 0.020448874517713378, -0.0022292055869004733, 100260000000, 
-0.004221369942577158, 0.016265901800512905, -0.0014949100605359477, 100464000000, 
-0.004221369942577158, 0.016265901800512905, -0.0011695920245256898, 100464000000, 
-0.004009144659426256, 0.0007074176105030064, -0.0008301256363053714, 100634000000, 
-0.004009144659426256, 0.0007074176105030064, -0.0008159772840953113, 100634000000, 
-0.012954352388405366, -0.029817359096597034, -0.0013981761138171919, 100838000000, 
-0.012954352388405366, -0.029817359096597034, -0.0019945232957491324, 100838000000, 
0.0012528448098847456, 0.04735732399430037, -0.0016437239977950657, 101042000000, 
0.0012528448098847456, 0.04735732399430037, -0.0006965775179090583, 101042000000, 
-0.0006602485466359331, -0.006376977855068929, 0.00012302940487557052, 101246000000, 
-0.0006602485466359331, -0.006376977855068929, -4.510152225808047e-06, 101246000000, 
-0.0036236909477480594, -0.009878141337040422, -0.000329612536067995, 101450000000, 
-0.0036236909477480594, -0.009878141337040422, -0.0005271753628088035, 101450000000, 
-0.0036236909477480594, 0.0, -0.0007247381895496118, 101450000000, 
-0.002607741535844421, 0.0033864980396787945, -0.000657008228756036, 101654000000, 
-0.002607741535844421, 0.0033864980396787945, -0.0005892782679624601, 101654000000, 
-0.000866726551700947, 0.005803383280478247, -0.0004054806415593193, 101858000000, 
-0.000866726551700947, 0.005803383280478247, -0.00028941297594975435, 101858000000, 
-0.0028149760915917588, -0.006494165132969372, -0.00030322861299957683, 102062000000, 
-0.0028149760915917588, -0.006494165132969372, -0.0004331119156589643, 102062000000, 
-0.001922074950276964, 0.002976337137715982, -0.0005034684755640321, 102232000000, 
-0.001922074950276964, 0.002976337137715982, -0.00044394173280971243, 102232000000, 
7.658925846310005e-06, 0.006432446253744247, -0.0002557660649805079, 102436000000, 
7.658925846310005e-06, 0.006432446253744247, -0.00012711713990562294, 102436000000, 
0.00406801416567204, 0.013534517466085768, 0.00027222213449097735, 102640000000, 
0.00406801416567204, 0.013534517466085768, 0.0005429124838126927, 102640000000, 
-0.0020729783081885333, -0.020469974912868578, 0.0004042033348770365, 102844000000, 
-0.0020729783081885333, -0.020469974912868578, -5.196163380335091e-06, 102844000000, 
-0.003689457939756835, -0.005388265438561006, -0.0005223609704089268, 103048000000, 
-0.003689457939756835, -0.005388265438561006, -0.0006301262791801468, 103048000000, 
-0.004120930579435855, -0.001438242132263401, -0.0007666564305966351, 103252000000, 
-0.004120930579435855, -0.001438242132263401, -0.000795421273241903, 103252000000, 
-0.004120930579435855, 0.0, -0.000824186115887171, 103252000000, 
0.0012539796360957478, 0.017916367385105342, -0.00046585876818506415, 103456000000, 
0.0012539796360957478, 0.017916367385105342, -0.00010753142048295732, 103456000000, 
0.006247992116582779, 0.016646708268290105, 0.0005837300925849516, 103660000000, 
0.006247992116582779, 0.016646708268290105, 0.0009166642579507537, 103660000000, 
0.000934378409667258, -0.017712045689718403, 0.0008953575095221877, 103864000000, 
0.000934378409667258, -0.017712045689718403, 0.0005411165957278196, 103864000000, 
-0.0030362060653341683, -0.013235281583338088, -7.782994973331015e-05, 104068000000, 
-0.0030362060653341683, -0.013235281583338088, -0.0003425355814000719, 104068000000, 
-0.0036563971891037106, -0.0020673037458984744, -0.0006485872879848032, 104238000000, 
-0.0036563971891037106, -0.0020673037458984744, -0.0006899333629027726, 104238000000, 
0.0009285111232493204, 0.015283027707843436, -0.00042561888366387336, 104442000000, 
0.0009285111232493204, 0.015283027707843436, -0.00011995832950700465, 104442000000, 
0.0009285111232493204, 0.0, 0.00018570222464986408, 104442000000, 
-0.006173078653572195, -0.023671965922738385, -0.0002877370938049036, 104646000000, 
-0.006173078653572195, -0.023671965922738385, -0.0007611764122596713, 104646000000, 
-0.002579593174190764, 0.011978284931271435, -0.0009950500320890102, 104850000000, 
-0.002579593174190764, 0.011978284931271435, -0.0007554843334635816, 104850000000, 
-0.0023359843242144462, 0.0008120294999210594, -0.0004996780448397316, 105054000000, 
