odom_x, odom_y, odom_th, odom_vx, odom_yawrate, pf_x, pf_y, pf_th, stamp, 
8.094718747177845e-05, -1.0332328335105285e-06, 1.0506124404590476e-05, 3.243447712215701e-06, -6.885733121300704e-08, 0.0026104886480120756, 0.045621219270265814, 0.0018254666649446644, 390720000000, 
8.094304890039666e-05, -1.033330962191556e-06, 1.0511118773711117e-05, 4.499065891469602e-06, -6.046608941436285e-08, -0.0004873477476064423, 0.04525794795568477, -0.0027946501384907316, 390924000000, 
8.095477763524289e-05, -1.0333444206462346e-06, 1.0515474685804666e-05, 2.446548764808986e-06, -7.846771019314771e-08, -0.0010531189764448562, 0.045981669622672375, 0.00039114788510391887, 391094000000, 
8.100327977131517e-05, -1.0333757595067141e-06, 1.0521061708754178e-05, 3.4909567038088253e-06, -5.6542208086757136e-08, 0.011695261972930438, 0.04554031933523444, -0.003941466962691821, 391298000000, 
8.094870034731894e-05, -1.033365956269001e-06, 1.0525556747615751e-05, 1.1646807571278433e-06, -8.303360287829876e-08, 0.0018107566314456364, 0.05295138184438089, -0.0006287231509644033, 391502000000, 
8.102625670284518e-05, -1.033418647354235e-06, 1.0531420187266306e-05, 2.0142620168014835e-06, -7.187107082805262e-08, -0.00602638419542738, 0.0465057008177346, 0.002708702063216722, 391706000000, 
8.097731679250496e-05, -1.033362080490278e-06, 1.0535144757273747e-05, 1.7516370251856125e-06, -7.860170872211413e-08, 0.007338591081708374, 0.0610953225973546, 0.00704198465606637, 391876000000, 
8.102510466960744e-05, -1.033450921704899e-06, 1.0540665921427304e-05, 3.07602291687667e-06, -7.450264866212705e-08, 0.0022079680294046842, 0.05308926828966476, -0.00032356172143093, 392080000000, 
8.10249114232358e-05, -1.0334333819370573e-06, 1.054575914545309e-05, 1.8761169352857394e-06, -7.694888130057058e-08, 0.004690598893182789, 0.04662520548472686, 0.002257961046174812, 392284000000, 
8.103473422855888e-05, -1.0334808841729873e-06, 1.0553447583933946e-05, 3.812963775217234e-06, -6.548785037950416e-08, 0.0006265536031313737, 0.04399136391317017, -0.0010406693814962347, 392590000000, 
8.105418593535082e-05, -1.0335303625927005e-06, 1.0558644455412791e-05, 3.386424294807229e-06, -5.98307985837014e-08, 0.002352915171136356, 0.060120230567605085, 0.005101201797112721, 392794000000, 
0.010799128029622757, -3.132928697835978e-05, -0.01085820135217083, 0.12351809257068706, -0.2360111339036012, 0.010159782242988821, 0.049725630424432336, -0.01659171566929545, 392964000000, 
0.05094600221428908, -0.0017595777515740855, -0.08765872276026176, 0.210914262223668, -0.4363735263105812, 0.05300199763791959, 0.05421033585620194, -0.09031828494896785, 393168000000, 
0.08658147708613494, -0.006434004358684724, -0.17319575152259725, 0.2113489531498785, -0.5168601849579698, 0.09868290475810129, 0.04478488366622535, -0.19615857934296968, 393338000000, 
0.1286487502791941, -0.016019890406001006, -0.2752494147472901, 0.2108159058498609, -0.4980905651664201, 0.13722073732744322, 0.025661048685360736, -0.2921004901159672, 393542000000, 
0.1627784942059714, -0.027231038849471298, -0.36026666344625696, 0.21131557376254861, -0.5005743729717863, 0.1770309858518254, 0.01704767908654855, -0.39414885788932325, 393712000000, 
0.20223962922011393, -0.044409939548891074, -0.4622297477445157, 0.20925237122206938, -0.49976080570214776, 0.21963327903284977, 0.004737732521950363, -0.4922340171517265, 393916000000, 
0.23886910612151305, -0.0648519751864244, -0.550946473914034, 0.20140643348595774, -0.33796907472687365, 0.2504898285836592, -0.01664367317068252, -0.5721585127441521, 394120000000, 
0.2726027910261938, -0.08702500221288971, -0.6069571035893443, 0.19420692900276376, -0.15883523320070048, 0.2778337977862487, -0.04420229402875606, -0.6198448143800002, 394324000000, 
0.29929767838914895, -0.10624815834820074, -0.6409314680069635, 0.19080709947248836, -0.142106959661204, 0.3145339095004059, -0.059825997694342915, -0.6459015087789677, 394494000000, 
0.33006936331664727, -0.12986038664993527, -0.6684503075032018, 0.18762671208327936, -0.10048056004901705, 0.34017480614201234, -0.08901814942457813, -0.6777991169498738, 394698000000, 
0.36925169160891597, -0.1616129060854985, -0.6932967655173241, 0.1835309115223519, -0.08577807602092277, 0.37093996498147463, -0.10898862233079545, -0.6975520558581679, 394970000000, 
0.3928555818362277, -0.18147885315141052, -0.7045368820290283, 0.17998501470919287, -0.061192100622482204, 0.400527312778256, -0.12963533412486333, -0.7039487965250854, 395140000000, 
0.41602317015582346, -0.20137350518487052, -0.7142401709971669, 0.17951840065445077, -0.056165239978733475, 0.42270403877358087, -0.1592171484409502, -0.717566637483953, 395310000000, 
0.44311339612043493, -0.2250670852337684, -0.722653483002444, 0.17383307247829888, -0.03707911755097107, 0.44881902495386, -0.17715409926327744, -0.7245369935298425, 395514000000, 
0.46942546201970814, -0.24845254768921152, -0.7295263669467671, 0.17070436640253522, -0.017548946615364984, 0.4764101405761588, -0.2072669581553617, -0.7264109953708233, 395718000000, 
0.49512042286264685, -0.2715464796350923, -0.734257599155151, 0.16764678973502412, -0.018531095329821674, 0.4987780204306582, -0.23175967104479564, -0.7336142914413558, 395922000000, 
0.5202493250465389, -0.2943274103029725, -0.7381704902618703, 0.16435562711732657, -0.015873619287544806, 0.5246581421682435, -0.24902244244026536, -0.7365578582653541, 396126000000, 
0.5407415617346627, -0.3130297387384283, -0.7409580700126718, 0.16117746792689808, -0.009048004105132122, 0.547217684465786, -0.2687948491095781, -0.7389214489711101, 396296000000, 
0.5648476639271803, -0.3351293499919002, -0.7428646239609711, 0.15834224970724115, -0.01041210399535508, 0.5685029608732609, -0.29490221598260424, -0.7447707684989777, 396500000000, 
0.5884225589439253, -0.356826494892473, -0.7447214257804263, 0.15559028186282448, -0.007246856834632711, 0.596619404856734, -0.3112896304425111, -0.7431788400096618, 396704000000, 
0.6191479083075663, -0.3852031273040303, -0.7459959252469809, 0.152070327945787, -0.002495580017043605, 0.6186906983540004, -0.33508212793504394, -0.7454161230247119, 396976000000, 
0.6416604606403044, -0.40602191978254126, -0.7467696205065619, 0.14932317986665544, -0.0047249046148166276, 0.6434003215922021, -0.35008211162841113, -0.7509477706584857, 397180000000, 
0.652814729050627, -0.4163533602775424, -0.747372796834649, 0.14886348913146633, -0.005094118676297241, 0.6635962994429974, -0.38216102306851574, -0.7473875445825122, 397282000000, 
0.6820250945825366, -0.4434495742672143, -0.7481789349637079, 0.14419417060962192, -0.0011838493242797455, 0.6769721997870197, -0.38987423838601126, -0.7463124701328046, 397554000000, 
0.703253598374816, -0.4631545458172584, -0.7480957666314103, 0.14065153103648448, 0.000527884955246291, 0.6990882977462496, -0.41947844749850466, -0.7451956420831735, 397758000000, 
0.7206888771856835, -0.4793323788656745, -0.747946717816678, 0.13917238318180436, -0.0018525108540242466, 0.7229133642892015, -0.44098910138295905, -0.7460575297506555, 397928000000, 
0.7413989976769134, -0.4985538845836105, -0.7482554815045454, 0.1364969257750538, 0.001843481711869334, 0.7408668077358235, -0.4526857979553651, -0.7533932544319137, 398132000000, 
0.7582788486876695, -0.5142198732429346, -0.7480078701106151, 0.13352117091795038, 0.001953280738340922, 0.7627703771001545, -0.471030227679541, -0.7499701775329037, 398302000000, 
0.778136120709901, -0.5326383530929554, -0.7475885954740379, 0.13128327453081376, 0.00635793775368635, 0.7879746124150723, -0.4855500718678597, -0.7443033726455428, 398506000000, 
0.7976868519115837, -0.5507407539164866, -0.7464227424719715, 0.1287719755263656, 0.001117932436073191, 0.8014653199902915, -0.5115552398500897, -0.745578474812024, 398710000000, 
0.816821006429914, -0.5684348847323237, -0.7466208966984926, 0.12638519126333592, -0.010098514760650263, 0.8232846427586468, -0.5252032728891285, -0.7455820546817129, 398914000000, 
0.8417215115125527, -0.5915041883525016, -0.7474597738982559, 0.1234653923272569, -0.0009450143622647601, 0.8364619127356547, -0.5449886994954563, -0.7466058905660556, 399186000000, 
0.8569469969735799, -0.6056164426413022, -0.7476565343109249, 0.12104904950041276, -0.0012846077316749688, 0.8519338085604543, -0.557985533784833, -0.748894424579769, 399356000000, 
0.8749826092358036, -0.6223469238726328, -0.7480587125208571, 0.11923808653194107, 0.0023318071178392154, 0.871648697050347, -0.5701948204369314, -0.7523717484670228, 399560000000, 
0.8897827320054686, -0.6360752427794144, -0.7476499977231583, 0.11746709722864966, 0.0038104924052598274, 0.8838214744395672, -0.5863662039452403, -0.7462506075676514, 399730000000, 
0.9072738680709648, -0.6522824871790351, -0.7469834975968649, 0.11548797639462641, 0.0031842271215203046, 0.9072034560000382, -0.6093685574101315, -0.7468156926546651, 399934000000, 
0.9244402710523554, -0.6681683776003641, -0.7464966884759654, 0.11350221006670244, -0.0007438208671426752, 0.9226919100389628, -0.6195720580705273, -0.743491514583352, 400138000000, 
0.9412893695508777, -0.6837529740593024, -0.7462903083920305, 0.11101579501164005, 0.0022692304383750803, 0.9433488584335995, -0.6327543447128268, -0.7424900969968685, 400342000000, 
0.9550498763269936, -0.6964740428430409, -0.7460962122310564, 0.10900047794721789, -0.004015017930073632, 0.95893606229077, -0.6418433795970717, -0.745508767787172, 400512000000, 
